subset,filename,classification,cbct_score,reasons,min_hu,max_hu,mean_hu,std_hu,range_hu,voxel_x,voxel_y,voxel_z,is_isotropic
trainA,patient_1.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-767.5718705016054,413.7942872757083,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_10.nii.gz,LIKELY_CT,1,Max HU too low: 1608.2,-999.9999997009943,1608.2000000709102,-797.3861046129191,384.41546903178534,2608.1999997719045,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_11.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-812.598323228301,371.1451582669934,3975.999938901514,1.0391000509262085,1.0391000509262085,3.0,False
trainA,patient_14.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-769.8788175371723,403.2392166317991,3975.999938901514,1.0448999404907227,1.0448999404907227,3.0,False
trainA,patient_15.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-694.9882741459527,430.578034345053,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_16.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-766.7573383861165,406.73399561934315,3975.999938901514,1.0214999914169312,1.0214999914169312,3.0,False
trainA,patient_17.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-700.5619947266423,426.8437748380798,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_18.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-746.8654198005969,417.8006991444868,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_19.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-785.0986212941623,380.9886470524027,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_20.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-747.0685109691962,410.51516501388124,3975.999938901514,1.048799991607666,1.048799991607666,3.0,False
trainA,patient_23.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-726.2870479830856,440.63370868472333,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_24.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-699.1085653232336,424.88369361925555,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_26.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-811.9880759618758,364.0153570439597,3975.999938901514,1.0273000001907349,1.0273000001907349,3.0,False
trainA,patient_27.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-788.9854729603572,376.10967036911603,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_28.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-841.4793968798293,348.5034244216214,3975.999938901514,1.1289000511169434,1.1289000511169434,3.0,False
trainA,patient_29.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-737.1911331652861,426.32379259396123,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_3.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-776.8363464171932,402.54236599528303,3975.999938901514,1.0312999486923218,1.0312999486923218,3.0,False
trainA,patient_30.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-795.49288922491,369.7790506197685,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_31.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-723.3843926220123,419.3456627751014,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_32.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-796.7211757976798,372.90788486109835,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_33.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-785.8210497764564,386.37674364499173,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_34.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-706.3465158561435,425.81257487874166,3975.999938901514,1.0527000427246094,1.0527000427246094,3.0,False
trainA,patient_36.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-741.7554063389484,413.17582062008756,3975.999938901514,1.1620999574661255,1.1620999574661255,3.0,False
trainA,patient_37.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-672.2637056210591,443.5984534689223,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_39.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-725.372925163731,417.24470339477807,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_4.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-779.4765939279996,401.1228059110243,3975.999938901514,1.0,1.0,3.0,False
trainA,patient_40.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-815.1316896406482,365.8815197489334,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_42.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-716.324091713102,427.8230390397852,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_43.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-666.2952298739408,443.2812112852205,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
